popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
71,False,0.315,0.22,A,-21.343,major,0.0514,0.987,0.943,0.0802,0.116,145.195,4/4,classical
45,False,0.603,0.743,A,-7.013,major,0.0553,0.728,4.22e-05,0.103,0.341,100.021,4/4,classical
46,False,0.191,0.536,G-sharp_A-flat,-12.125,major,0.046,0.969,0.00339,0.14,0.608,77.224,4/4,classical
47,False,0.612,0.518,E,-8.888,minor,0.19,0.639,8.47e-05,0.0817,0.527,159.894,4/4,classical
48,False,0.642,0.562,A,-9.304,minor,0.0607,0.584,0.0,0.104,0.671,149.82,4/4,classical
43,False,0.662,0.681,B,-10.138,major,0.0477,0.284,0.00148,0.0769,0.414,99.986,4/4,classical
45,False,0.4,0.148,C,-12.625,major,0.0341,0.95,0.0,0.132,0.486,70.628,4/4,classical
51,False,0.248,0.42,A,-11.747,major,0.0274,0.587,0.00473,0.108,0.218,84.013,3/4,classical
46,False,0.677,0.351,D,-16.101,minor,0.0509,0.838,0.0,0.0978,0.706,117.443,4/4,classical
47,False,0.42,0.666,D-sharp_E-flat,-9.957,major,0.077,0.818,0.123,0.377,0.653,99.91,4/4,classical
0,False,0.32,0.00501,C-sharp_D-flat,-33.366,major,0.0455,0.993,0.919,0.0618,0.0383,68.947,5/4,classical
0,False,0.124,0.00798,B,-26.94,minor,0.0464,0.818,0.934,0.101,0.0376,97.295,4/4,classical
1,False,0.144,0.0231,A,-24.877,major,0.0414,0.604,0.401,0.118,0.108,139.798,4/4,classical
0,False,0.434,0.162,F,-17.945,minor,0.0452,0.846,0.138,0.108,0.159,147.626,4/4,classical
0,False,0.513,0.287,A-sharp_B-flat,-19.716,major,0.0472,0.976,0.00247,0.0991,0.265,100.492,4/4,classical
0,False,0.323,0.0146,D,-30.952,minor,0.053,0.995,0.919,0.0692,0.19,124.998,4/4,classical
0,False,0.222,0.116,F,-23.212,major,0.0363,0.844,0.823,0.69,0.313,175.723,3/4,classical
0,False,0.115,0.0484,G,-28.233,major,0.0509,0.885,0.112,0.159,0.0386,175.598,4/4,classical
3,False,0.303,0.0313,D,-21.266,minor,0.0486,0.988,0.85,0.0484,0.0586,135.547,4/4,classical
0,False,0.29,0.137,E,-19.495,major,0.0381,0.991,0.926,0.126,0.189,127.17,3/4,classical
0,False,0.374,0.366,C,-24.258,major,0.0617,0.722,0.897,0.12,0.294,147.865,4/4,classical
