popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_popular
0,False,0.865,0.575,G,-8.296,major,0.0823,0.0899,0.000183,0.245,0.62,106.989,4/4,unpopular
83,True,0.813,0.56,D,-5.904,minor,0.0618,0.108,0.0,0.268,0.287,118.033,4/4,popular
50,False,0.641,0.885,A-sharp_B-flat,-3.046,major,0.0403,0.0886,0.0,0.293,0.866,101.99,4/4,unpopular
70,False,0.701,0.896,C,-6.459,major,0.0814,0.0866,0.0,0.0572,0.896,130.067,4/4,popular
24,False,0.527,0.64,D,-8.103,minor,0.0326,0.234,0.032,0.408,0.236,140.053,4/4,unpopular
27,False,0.621,0.638,C,-4.055,minor,0.0287,0.758,0.00657,0.151,0.511,96.143,4/4,unpopular
0,False,0.492,0.59,E,-4.032,minor,0.0313,0.00109,0.0023,0.271,0.179,117.637,4/4,unpopular
65,False,0.521,0.835,G-sharp_A-flat,-3.717,minor,0.0728,0.0259,0.00011,0.091,0.482,160.031,4/4,popular
59,False,0.151,0.00804,C-sharp_D-flat,-31.581,major,0.0552,0.925,0.776,0.113,0.0276,135.61,3/4,popular
61,False,0.428,0.237,G,-13.764,minor,0.0351,0.987,0.896,0.0849,0.357,79.904,4/4,popular
48,False,0.563,0.621,A,-7.197,major,0.0323,0.816,0.0,0.381,0.656,143.869,4/4,unpopular
2,False,0.516,0.775,F-sharp_G-flat,-6.409,major,0.0412,0.396,0.00129,0.21,0.858,177.401,4/4,unpopular
41,False,0.789,0.527,A-sharp_B-flat,-4.931,major,0.0335,0.297,6.37e-05,0.065,0.966,131.041,4/4,unpopular
13,False,0.624,0.78,F,-9.417,minor,0.046,0.784,0.905,0.101,0.525,96.001,4/4,unpopular
38,False,0.54,0.54,C,-7.234,minor,0.028,0.0984,0.00325,0.186,0.418,145.992,4/4,unpopular
55,False,0.282,0.00212,F-sharp_G-flat,-36.252,major,0.0491,0.993,0.964,0.104,0.0803,66.72,4/4,popular
43,False,0.325,0.213,A-sharp_B-flat,-17.136,minor,0.04,0.898,0.0541,0.0909,0.326,181.1,3/4,unpopular
59,False,0.392,0.018,C-sharp_D-flat,-27.064,major,0.0375,0.995,0.903,0.0954,0.14,66.99,3/4,popular
40,False,0.925,0.355,C,-11.38,major,0.0527,0.00209,0.834,0.102,0.11,120.013,4/4,unpopular
59,False,0.873,0.695,C-sharp_D-flat,-7.428,minor,0.036,0.306,0.0,0.221,0.612,114.982,4/4,popular
62,False,0.639,0.368,D,-14.096,minor,0.048,0.245,0.0,0.106,0.415,89.94,4/4,popular
46,False,0.485,0.888,B,-3.326,major,0.0489,0.00277,1.16e-06,0.373,0.282,142.983,4/4,unpopular
40,False,0.604,0.802,D,-7.561,major,0.0344,0.0116,0.000304,0.0713,0.473,103.029,4/4,unpopular
